Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
5,5,6,4,Detached Duplex,Lagos,125000000.0
5,5,6,3,Detached Duplex,Lagos,120000000.0
5,5,6,4,Detached Duplex,Lagos,60000000.0
4,4,5,4,Detached Duplex,Lagos,55000000.0
3,3,4,4,Detached Bungalow,Ogun,16000000.0
3,5,5,4,Block of Flats,Rivers,100000000.0
5,5,6,5,Detached Duplex,Rivers,180000000.0
5,6,7,4,Detached Duplex,Lagos,55000000.0
5,5,6,6,Detached Duplex,Lagos,350000000.0
4,5,5,4,Terraced Duplexes,Abuja,75000000.0
5,5,6,4,Detached Duplex,Lagos,65000000.0
5,5,5,4,Detached Duplex,Lagos,150000000.0
5,7,7,4,Detached Duplex,Lagos,500000000.0
4,5,5,3,Terraced Duplexes,Lagos,55000000.0
3,4,5,4,Block of Flats,Abuja,250000000.0
6,5,7,8,Detached Duplex,Lagos,1600000000.0
5,7,7,4,Detached Duplex,Lagos,80000000.0
4,4,5,4,Detached Duplex,Enugu,65000000.0
4,5,5,4,Block of Flats,Rivers,70000000.0
4,4,5,4,Detached Duplex,Lagos,67000000.0
5,5,6,6,Detached Duplex,Lagos,200000000.0
5,6,6,4,Detached Duplex,Abuja,35000000.0
4,4,5,4,Terraced Duplexes,Lagos,60000000.0
4,4,5,4,Semi Detached Duplex,Lagos,60000000.0
5,5,5,4,Detached Duplex,Lagos,125000000.0
5,4,5,4,Detached Duplex,Abuja,140000000.0
2,2,2,4,Detached Bungalow,Lagos,3600000.0
4,4,5,4,Terraced Duplexes,Lagos,62000000.0
3,3,4,4,Detached Bungalow,Abuja,70000000.0
3,6,4,6,Detached Bungalow,Abuja,50000000.0
2,3,3,3,Detached Duplex,Lagos,26000000.0
4,4,4,2,Terraced Duplexes,Lagos,200000000.0
4,4,5,5,Semi Detached Duplex,Abuja,160000000.0
9,9,1,1,Detached Duplex,Lagos,70000000.0
5,5,6,6,Detached Duplex,Lagos,350000000.0
5,5,5,2,Detached Duplex,Lagos,110000000.0
3,3,4,1,Detached Bungalow,Lagos,15000000.0
5,5,6,4,Detached Duplex,Lagos,100000000.0
4,4,5,4,Semi Detached Duplex,Lagos,45000000.0
9,9,1,8,Detached Duplex,Lagos,250000000.0
5,5,6,5,Detached Duplex,Lagos,120000000.0
4,4,5,4,Detached Duplex,Lagos,65000000.0
3,5,5,4,Detached Duplex,Abuja,80000000.0
5,5,5,4,Detached Duplex,Lagos,200000000.0
5,6,6,7,Detached Duplex,Abuja,85000000.0
5,5,5,4,Detached Duplex,Lagos,50000000.0
4,5,5,8,Detached Bungalow,Ogun,10000000.0
4,4,5,4,Terraced Duplexes,Abuja,43000000.0
4,5,5,4,Terraced Duplexes,Abuja,45000000.0
5,5,7,1,Detached Duplex,Oyo,33000000.0
3,4,4,4,Detached Bungalow,Abuja,15500000.0
4,4,5,4,Detached Duplex,Lagos,90000000.0
4,4,5,1,Detached Duplex,Lagos,43000000.0
5,5,6,4,Detached Duplex,Lagos,150000000.0
5,5,6,4,Detached Duplex,Lagos,650000000.0
4,4,5,4,Semi Detached Duplex,Lagos,72000000.0
4,5,5,4,Detached Duplex,Lagos,70000000.0
4,4,5,3,Terraced Duplexes,Lagos,280000000.0
4,6,6,4,Detached Duplex,Lagos,65000000.0
4,4,5,2,Terraced Duplexes,Lagos,45000000.0
4,4,5,2,Terraced Duplexes,Lagos,46000000.0
4,6,6,4,Semi Detached Duplex,Abuja,170000000.0
3,3,3,4,Terraced Duplexes,Lagos,31000000.0
4,4,5,4,Detached Duplex,Abuja,450000000.0
6,5,5,4,Detached Bungalow,Enugu,20000000.0
5,6,6,4,Detached Duplex,Lagos,270000000.0
5,5,6,7,Detached Duplex,Lagos,195000000.0
5,5,6,5,Detached Duplex,Lagos,250000000.0
2,5,5,4,Block of Flats,Imo,60000000.0
4,4,5,4,Detached Duplex,Ogun,35000000.0
4,5,5,4,Terraced Duplexes,Abuja,190000000.0
5,5,5,4,Detached Duplex,Abuja,130000000.0
5,5,5,4,Detached Duplex,Lagos,720000000.0
7,7,8,7,Detached Duplex,Lagos,240000000.0
4,5,5,4,Detached Duplex,Lagos,55000000.0
5,4,5,6,Detached Bungalow,Lagos,25000000.0
5,5,6,3,Detached Duplex,Lagos,80000000.0
4,4,5,2,Terraced Duplexes,Lagos,58000000.0
4,4,5,4,Detached Duplex,Lagos,65000000.0
5,5,6,1,Detached Duplex,Abuja,85000000.0
3,3,4,4,Detached Duplex,Ogun,35000000.0
4,4,5,4,Detached Duplex,Ogun,80000000.0
4,4,5,4,Terraced Duplexes,Abuja,75000000.0
5,5,5,4,Detached Duplex,Lagos,6000000.0
5,5,6,3,Detached Duplex,Lagos,85000000.0
4,4,5,4,Semi Detached Duplex,Lagos,65000000.0
5,5,6,5,Detached Duplex,Lagos,130000000.0
2,3,3,2,Detached Bungalow,Abuja,25000000.0
4,5,5,7,Block of Flats,Rivers,60000000.0
4,5,5,4,Detached Duplex,Rivers,60000000.0
3,3,4,4,Terraced Duplexes,Abuja,35000000.0
4,5,5,6,Semi Detached Duplex,Lagos,39000000.0
5,5,6,4,Terraced Duplexes,Lagos,77000000.0
3,4,5,2,Terraced Duplexes,Lagos,65000000.0
4,4,4,4,Semi Detached Duplex,Lagos,230000000.0
3,3,4,1,Terraced Bungalow,Lagos,40000000.0
4,4,5,4,Semi Detached Duplex,Lagos,65000000.0
5,5,6,4,Detached Duplex,Lagos,198000000.0
1,1,1,1,Semi Detached Duplex,Abuja,200000000.0
3,3,4,2,Terraced Bungalow,Lagos,15500000.0
4,4,5,6,Detached Duplex,Lagos,350000000.0
5,1,1,1,Block of Flats,Lagos,55000000.0
